day,hour,avg_poi_activity
Friday,6,0.2731914893617021
Friday,7,0.30125
Friday,8,0.3221538461538462
Friday,9,0.372
Friday,10,0.39785714285714285
Friday,11,0.38961538461538464
Friday,12,0.421875
Friday,13,0.4185185185185185
Friday,14,0.3976829268292683
Friday,15,0.39166666666666666
Friday,16,0.3798809523809524
Friday,17,0.39168539325842694
Friday,18,0.43385416666666665
Friday,19,0.4689690721649485
Friday,20,0.46060606060606063
Friday,21,0.4380459770114942
Friday,22,0.43893333333333334
Friday,23,0.4588888888888889
Monday,6,0.24361702127659574
Monday,7,0.2507407407407407
Monday,8,0.31017857142857147
Monday,9,0.30693548387096775
Monday,10,0.28695652173913044
Monday,11,0.326144578313253
Monday,12,0.36253012048192773
Monday,13,0.3546153846153846
Monday,14,0.34153846153846157
Monday,15,0.30848101265822786
Monday,16,0.2767088607594937
Monday,17,0.2767058823529412
Monday,18,0.3053164556962025
Monday,19,0.29844155844155845
Monday,20,0.24792207792207793
Monday,21,0.2119047619047619
Monday,22,0.24849056603773584
Monday,23,0.22130434782608696
Saturday,6,0.2984210526315789
Saturday,7,0.26913043478260873
Saturday,8,0.2810714285714286
Saturday,9,0.38767123287671235
Saturday,10,0.4675308641975308
Saturday,11,0.46877777777777774
Saturday,12,0.467
Saturday,13,0.515188679245283
Saturday,14,0.5347572815533981
Saturday,15,0.5160194174757281
Saturday,16,0.5027368421052631
Saturday,17,0.5072826086956522
Saturday,18,0.5310112359550562
Saturday,19,0.5142391304347826
Saturday,20,0.4726086956521739
Saturday,21,0.4631395348837209
Saturday,22,0.4815584415584415
Saturday,23,0.5268181818181819
Sunday,6,0.21722222222222223
Sunday,7,0.19666666666666666
Sunday,8,0.22358490566037736
Sunday,9,0.29015873015873017
Sunday,10,0.32712121212121215
Sunday,11,0.33794871794871795
Sunday,12,0.37402173913043474
Sunday,13,0.4340217391304348
Sunday,14,0.42645161290322575
Sunday,15,0.42537634408602154
Sunday,16,0.4091304347826087
Sunday,17,0.3986315789473684
Sunday,18,0.4175555555555555
Sunday,19,0.348625
Sunday,20,0.2915853658536585
Sunday,21,0.24680000000000002
Sunday,22,0.2793939393939394
Sunday,23,0.2862295081967213
Thursday,6,0.19456521739130433
Thursday,7,0.2190566037735849
Thursday,8,0.3160655737704918
Thursday,9,0.35432835820895525
Thursday,10,0.3756338028169014
Thursday,11,0.36506172839506174
Thursday,12,0.4096296296296296
Thursday,13,0.4132926829268293
Thursday,14,0.3746341463414634
Thursday,15,0.36506172839506174
Thursday,16,0.3180487804878049
Thursday,17,0.3130952380952381
Thursday,18,0.3508974358974359
Thursday,19,0.36365853658536584
Thursday,20,0.3224705882352941
Thursday,21,0.27383561643835613
Thursday,22,0.2725757575757575
Thursday,23,0.2854237288135593
Tuesday,6,0.26395833333333335
Tuesday,7,0.2694642857142857
Tuesday,8,0.2893442622950819
Tuesday,9,0.2955223880597015
Tuesday,10,0.3185507246376812
Tuesday,11,0.3392307692307692
Tuesday,12,0.3943037974683545
Tuesday,13,0.3823076923076923
Tuesday,14,0.340125
Tuesday,15,0.3331645569620253
Tuesday,16,0.31645569620253167
Tuesday,17,0.2891566265060241
Tuesday,18,0.33039473684210524
Tuesday,19,0.31184210526315786
Tuesday,20,0.3013157894736842
Tuesday,21,0.2614705882352941
Tuesday,22,0.2604761904761905
Tuesday,23,0.2558490566037736
Wednesday,6,0.24510204081632653
Wednesday,7,0.24696428571428572
Wednesday,8,0.2982539682539682
Wednesday,9,0.33811594202898554
Wednesday,10,0.35027777777777774
Wednesday,11,0.3581012658227848
Wednesday,12,0.4073417721518987
Wednesday,13,0.41525641025641025
Wednesday,14,0.36037974683544305
Wednesday,15,0.325679012345679
Wednesday,16,0.3065
Wednesday,17,0.28411764705882353
Wednesday,18,0.29481012658227845
Wednesday,19,0.2860493827160494
Wednesday,20,0.27
Wednesday,21,0.22123287671232875
Wednesday,22,0.21393939393939396
Wednesday,23,0.213448275862069
